Account: Micro Region,Account: Billing Country,Workload Progress,Primary Workload Pillar,Key Workload Products,Solutions,Account: Account Name,Account: Account Owner,Account: Product Area,Workload: Workload Name,Primary CE Technical Owner,Workload Gross Annual Recurring Revenue (converted),Implementation Lead,Partner,Workload End Date,PSF Investment,PSF Status,PSF Type,Opportunity,Tiene Gemini Enterprise en ell Workload,Tiene Gemini Enterprise en la Oportunidad?,Aparently is GE
Media & Telco,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,,,Algar Tecnologia e Consultoria S/A,Ludmila Vilela,,Gemini p/ IAsmin - Winback OpenAI,,"USD 30,000",Partner,IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA (fka METARJ SOLUCOES EM GEOTECNOLOGIA E DESENV DE SISTEMAS LTDA),9/25/2026,go/psf-request,psf-request,,Algar Tech - Projeto IAsmin - Gemini,FALSE,FALSE,
BR CORP,Brazil,0-2: Tech Eval/Solution Dev,,,,ATHENA HEALTHCARE HOLDING S.A,Vanessa Moyses,,AI analise exames_Athena,,"USD 60,000",Partner,SAUTER TECNOLOGIA E SERVICOS LTDA,,go/psf-request,psf-request,,Athena Saúde SOW Specialized Agent for Medical Summaries,FALSE,FALSE,
Retail & CPG,Brazil,0-2: Tech Eval/Solution Dev,Build with AI,Cloud AI - Vertex AI Platform,,NS2.Com Internet S/A,Cadu Santini,,[Netshoes] Recommendations AI Prediction,Kauy Souza,"USD 373,920",Customer,,7/31/2026,go/psf-request,psf-request,,[Netshoes] Recommendations AI Prediction #SalesCreditPOC,FALSE,FALSE,
Brazil PS,Brazil,0-2: Tech Eval/Solution Dev,,,,Tribunal Regional Federal da 1 Regiao,Tamyres Rocha,,Secops/Serpro,,,Unknown,,,go/psf-request,psf-request,,"TRF1 - SecOps E + MTD - 166K iACV, New",FALSE,FALSE,
Brazil DN,Brazil,4.2: Ramping / Deliver,Build with AI,Cloud AI - Vertex AI Platform,,Genial Care,Rafael Sanabio,,Genial Care - Gemini Enterprise,Leia Portela,"USD 54,000",Customer,,,go/psf-request,psf-request,,Genial Care - Flex Agreement - #GCP #BR #OUT,TRUE,FALSE,Gemini enterprise
Argentina,Argentina,0-2: Tech Eval/Solution Dev,,,,RED LINK S.A.,Natalia Giordano,,RedLink - AI,,"USD 200,000",Unknown,,,go/psf-request,psf-request,,Red Link - Flex,FALSE,FALSE,
Large Accounts,Brazil,0-2: Tech Eval/Solution Dev,,Gemini AI,,Saúde BRB - Caixa de Assistência,Andre Estuqui,,BRB_Saude_GeminiEnterprise,,"USD 30,000",Partner,IPNET SERVICOS EM NUVEM E DESENVOLVIMENTO DE SISTEMAS LTDA (fka METARJ SOLUCOES EM GEOTECNOLOGIA E DESENV DE SISTEMAS LTDA),,go/psf-request,psf-request,,BRB_Saude_MIgracaoServidores+GeminiEnterprise,TRUE,TRUE,Gemini enterprise
MX Multi-industry & Monterrey,Mexico,3:  Proposal / Negotiation,Build with AI,Infrastructure AI; Cloud AI - Vertex AI Model Garden; Cloud AI - Vertex AI Conversation; Gemini AI,,Centro Médico ABC,Daniela Oseguera,,CMABC Servinformación AI Infra,Ignacio Rauda,"USD 200,000",Partner,SITINFORMACION S.A de C.V,,"http://go/vector/0RJKf000000GuV1OAK - PARTNER: SITINFORMACION S.A... | STATUS: Approved (2025-11-05) | AMT: 88,435 | TYPE: Consumption Planning (Cloud Migration)",Approved,Consumption Planning (Cloud Migration),Centro Médico ABC #SAPonGCP #COMMIT #OUT #OC,FALSE,FALSE,
MCO PS,Chile,0-2: Tech Eval/Solution Dev,Build with AI,,,Subsecretaria de Pesca y Acuicultura,Carolina Fiallo,,WL: SUBPESCA | GCP: Vision AI + Vertex AI | 120K | New Logo,,"USD 120,000",Partner,EMPRESA NACIONAL DE TELECOMUNICACIONES S.A,8/31/2027,go/psf-request,psf-request,,WL: SUBPESCA | GCP: Vision AI + Vertex AI | 120K | New Logo,FALSE,FALSE,
MCO PS,Colombia,3:  Proposal / Negotiation,Build with AI,Infrastructure AI,,LA PREVISORA S A COMPANIA DE SEGUROS,Carolina Fiallo,,la Previsora chatbot,Daniel Muñoz Jimenez,"USD 100,000",Partner,INFORMACIÓN LOCALIZADA SAS,,go/psf-request,psf-request,,LA PREVISORA  Chatbot,FALSE,FALSE,
